Part,Desc,Mouser,Digikey,LCSC
J1,Header f2*7,855-M20-7830746,S9197-ND,C124424
J2,Header F2*10,M20-7831046,S9195-ND,C30867
J3,Header F2*10,M20-7831046,S9195-ND,C30867
U1,CAN SN65HVD233DG4,595-SN65HVD233DG4,296-35967-1-ND,C61643
U2,CAN SN65HVD233DG4,595-SN65HVD233DG4,296-35967-1-ND,C61643
LIN1,LIN TJA1021,771-TJA1021T10CM118,568-4643-1-ND,C128810
LIN2,LIN TJA1021,771-TJA1021T10CM118,568-4643-1-ND,C128810
CN1,Screw terminal 8p,651-1725711,ED10566-ND,C350883
R1,100K Trimmer,652-3314J-1-104E,3314G-104ETR-ND,C51284
R2,100K Trimmer,652-3314J-1-104E,3314G-104ETR-ND,C51284
U3,VReg 5V,MC7805CDTG,MC7805BDTGOS-ND,C83632
R3,R1206 4K7,603-RC1206FR-074K7L,CR1206-JW-472ELFCT-ND,C137262
R4,R1206 4K7,603-RC1206FR-074K7L,CR1206-JW-472ELFCT-ND,C137262
R5,R1206 4K7,603-RC1206FR-074K7L,CR1206-JW-472ELFCT-ND,C137262
R6,R1206 4K7,603-RC1206FR-074K7L,CR1206-JW-472ELFCT-ND,C137262
R8,R1206 120K,667-ERJ-8GEYJ124V,CR1206-FX-1203ELFCT-ND,C163387
R9,R1206 120K,667-ERJ-8GEYJ124V,CR1206-FX-1203ELFCT-ND,C163387
R10,R1206 4K7,603-RC1206FR-074K7L,CR1206-JW-472ELFCT-ND,C137262
R11,R1206 4K7,603-RC1206FR-074K7L,CR1206-JW-472ELFCT-ND,C137262
C1,C805 100nF/25V Electro,81-GRM40X104K25L,311-1456-6-ND,C396718
C2,100nF,80-C0805C104J5RAUTO,311-1456-6-ND,C396718
C3,100nF,80-C0805C104J5RAUTO,311-1456-6-ND,C396718
C4,C805 33nF/16V Electro,GCM155R71E333KA55D,311-3391-6-ND,C77016
C5,33nF,810-C2012C0G1E333J,311-3391-6-ND,C77016
C6,33nF,810-C2012C0G1E333J,311-3391-6-ND,C77016
C9,100nF,80-C0805C104J5RAUTO,311-1456-6-ND,C111492
C10,100nF,80-C0805C104J5RAUTO,311-1456-6-ND,C111492
C11,100nF,80-C0805C104J5RAUTO,311-1456-6-ND,C111492
C12,100nF,80-C0805C104J5RAUTO,311-1456-6-ND,C111492
K1,SMD Push button,,,
